,species,kind,spot,cpgi1,cpgi2,prdm9,crossover,cpgi1_cond,cpgi2_cond,prdm9_cond,crossover_cond
0,corn,0,coldspots,0.04570923031554114,0.11772077251953413,0.10437859354268023,0.0010851871947911015,0.0460082944530845,0.12218191241254212,0.10569295380307979,0.0008504434455108735
1,corn,0,hotspots,0.035830138602182246,0.10039805395842548,0.09582780480613298,0.0013177273079606232,0.037900874635568516,0.10135135135135136,0.09579328816763825,0.0014856388246946186
2,corn,1,coldspots,0.04445591271011501,0.11617278490343506,0.09663865546218488,0.0013177273079606232,0.04380508035251426,0.11648095361492615,0.10032664489034064,0.001336411128659944
3,corn,1,hotspots,0.03641993512238278,0.1009140498304585,0.0959015185021377,0.0007751337105650725,0.03843095679830374,0.1030736618971913,0.09279974791239956,0.0006602839220864972
4,corn,10,coldspots,0.046741374225892064,0.11292938227922748,0.10496830311071798,0.0014727540500736377,0.04937791601866252,0.1159626846333247,0.10580961269248716,0.0012149192078726764
5,corn,10,hotspots,0.03656738425243291,0.0930266843579537,0.10061919504643962,0.0010076738237345942,0.03697323085078187,0.09525702172760997,0.09910193792342839,0.0009904258831297458
6,corn,100,coldspots,0.04438218814508994,0.11307680967123691,0.10165118679050568,0.0013177273079606232,0.045489891135303266,0.11622181912412542,0.10289314045730284,0.0010934272870854087
7,corn,100,hotspots,0.03590386316720731,0.09147869674185463,0.09737579242223206,0.0007751337105650725,0.036178107606679034,0.09326974032856386,0.09862927367260123,0.00115549686365137
8,corn,101,coldspots,0.045930404010616335,0.1150670794633643,0.1034203154946189,0.001550267421130145,0.045878693623639194,0.12010883648613631,0.10417638824078394,0.001336411128659944
9,corn,101,hotspots,0.03782070185785904,0.09708093763821318,0.09708093763821318,0.001240213936904116,0.03631062814736284,0.09764175940646529,0.09673861666929258,0.0009904258831297458
10,corn,102,coldspots,0.045414332055440876,0.1150670794633643,0.09627008698216129,0.001240213936904116,0.0460082944530845,0.11842446229593159,0.09822678488100793,0.0012149192078726764
11,corn,102,hotspots,0.03848422294308464,0.09899749373433583,0.09597523219814241,0.0010076738237345942,0.038563477338987545,0.09949655537890832,0.08917598865605798,0.00115549686365137
12,corn,103,coldspots,0.04519315836036567,0.1125608137992039,0.10069290874244434,0.0007751337105650725,0.04730430274753759,0.11272350349831563,0.09857676154923005,0.0004859676831490706
13,corn,103,hotspots,0.03627248599233265,0.09671236915818959,0.09435353088603862,0.0008526470816215797,0.037900874635568516,0.09764175940646529,0.09027887190798803,0.0009904258831297458
14,corn,104,coldspots,0.04393984075493955,0.11838419578357659,0.10025062656641603,0.0010076738237345942,0.04691550025920166,0.11959056750453485,0.10172655156322911,0.0007289515247236059
15,corn,104,hotspots,0.03634621055735771,0.09818664307828394,0.10179861418251511,0.00038756685528253625,0.03843095679830374,0.10135135135135136,0.10162281392783992,0.0006602839220864972
16,corn,105,coldspots,0.04740489531111766,0.12059560666371812,0.10061919504643962,0.0014727540500736377,0.04471228615863142,0.12218191241254212,0.10300979934671022,0.0018223788118090147
17,corn,105,hotspots,0.03730462990268357,0.09848149786230281,0.10533687159074157,0.0010851871947911015,0.03816591571693612,0.10002649708532062,0.1068221206869387,0.0009904258831297458
18,corn,106,coldspots,0.045782954880566204,0.11410880141530297,0.09604894589414713,0.0013952406790171303,0.044582685329186106,0.11324177247991708,0.10114325711619225,0.0010934272870854087
19,corn,106,hotspots,0.037894426422884105,0.09251068848592069,0.10150375939849623,0.0010851871947911015,0.037503313013517094,0.09578696343402225,0.1006774854261856,0.00115549686365137
20,corn,107,coldspots,0.047331170746092596,0.11329795075925107,0.1004717676544302,0.0011627005658476088,0.046267496111975115,0.11531484840632288,0.09997666822211852,0.0006074596039363382
21,corn,107,hotspots,0.03678855794750811,0.09730207872622733,0.09980834439038773,0.0007751337105650725,0.036840710310098064,0.09936406995230525,0.09784149992122262,0.0009904258831297458
22,corn,108,coldspots,0.04769979357121793,0.11897390535161433,0.10607400855078873,0.0009301604526780869,0.04872991187143598,0.11829489505053123,0.10732617825478301,0.0008504434455108735
23,corn,108,hotspots,0.03560896490710705,0.09575409111012827,0.09877635264632169,0.0013952406790171303,0.036575669228730456,0.09737678855325914,0.09295730266267528,0.0009904258831297458
24,corn,109,coldspots,0.04784724270126806,0.1163202122954445,0.1071797139908595,0.0014727540500736377,0.04937791601866252,0.11725835708732832,0.1077928138124125,0.001336411128659944
25,corn,109,hotspots,0.03723090533765851,0.09899749373433583,0.09818664307828394,0.0010851871947911015,0.03498542274052478,0.09538950715421304,0.09941704742397983,0.001650709805216243
26,corn,11,coldspots,0.04526688292539074,0.11698363555948696,0.09678608285419431,0.0008526470816215797,0.04691550025920166,0.11855402954133196,0.09939337377508166,0.0007289515247236059
27,corn,11,hotspots,0.03863167207313477,0.09943977591036414,0.09604894589414713,0.0013177273079606232,0.03935860058309038,0.09777424483306836,0.09248463841184812,0.0013205678441729944
28,corn,110,coldspots,0.046077853140666473,0.11646763968745392,0.09870263895031697,0.0017828075342996668,0.045360290305857955,0.11674008810572688,0.09671021931871208,0.001700886891021747
29,corn,110,hotspots,0.036641108817457975,0.09833407047029338,0.09767064720625092,0.0010076738237345942,0.03591306652531143,0.0996290408055114,0.09484795966598393,0.0013205678441729944
30,corn,111,coldspots,0.04806841639634326,0.11713106295149639,0.09803921568627451,0.0011627005658476088,0.04834110938310005,0.11570355014252397,0.09822678488100793,0.0010934272870854087
31,corn,111,hotspots,0.03863167207313477,0.0988500663423264,0.09958720330237358,0.001550267421130145,0.03631062814736284,0.0985691573926868,0.09925949267370411,0.0013205678441729944
32,corn,112,coldspots,0.044971984665290475,0.10975969335102462,0.10555801267875571,0.0006976203395085652,0.04652669777086573,0.11220523451671417,0.10545963602426504,0.0009719353662981412
33,corn,112,hotspots,0.03627248599233265,0.09862892525431226,0.1004717676544302,0.0006976203395085652,0.03604558706599523,0.09843667196608373,0.09563573341736253,0.0009904258831297458
34,corn,113,coldspots,0.050206428782070184,0.11514079315936901,0.102609464838567,0.0006976203395085652,0.048989113530326596,0.11609225187872506,0.10417638824078394,0.0007289515247236059
35,corn,113,hotspots,0.03759952816278384,0.0971546513342179,0.102609464838567,0.0013177273079606232,0.038563477338987545,0.09817170111287758,0.10508901843390578,0.0013205678441729944
36,corn,114,coldspots,0.04393984075493955,0.11713106295149639,0.10327288810260947,0.0011627005658476088,0.042768273716951785,0.11738792433272868,0.10114325711619225,0.0014579030494472117
37,corn,114,hotspots,0.03538779121203185,0.096343800678166,0.09907120743034056,0.001240213936904116,0.03816591571693612,0.09697933227344992,0.09721128092011974,0.0008253549026081215
