Distance	All_PRDM9_Mean	All_PRDM9_Bootstrap_025	All_PRDM9_Boostrap_975	Promoters_Mean	Promoters_Bootstrap_025	Promoters_Boostrap_975
0	1.8929529961670961	1.913469602370337	1.952315614892072	3.060864209090449	2.57278940966343	4.098241551767515
100	1.8729090377574669	1.884943839712489	1.917968141182702	2.907011003675548	2.481461223230642	3.73464242511203
200	1.852332293963307	1.8568227309762366	1.8836419517356546	2.7531914928310877	2.439119945786243	3.3720954061013058
300	1.8310836271458937	1.8285784969707282	1.8501130525552558	2.5982014192313785	2.3529599794611467	3.0104161175536226
400	1.8093813610357274	1.800319040594773	1.8191802488804278	2.4409569269177944	2.234892079873619	2.7692221079568022
500	1.785218768670047	1.7747340279287254	1.7932463355205235	2.277152206627895	2.067880085678628	2.536284025830655
600	1.7603972168569497	1.7517194519683532	1.767377568692624	2.112680179507107	1.916395936092512	2.3526190045152275
700	1.7351637021287858	1.726846091817876	1.741889051264282	1.9629506547118942	1.7901316375582519	2.1970315552305544
800	1.7101979895638246	1.7019890226052978	1.7191377908491752	1.8336016797659915	1.67014675301023	2.064711314134915
900	1.6866402282745738	1.6770949918391989	1.6973319340681028	1.7243187654602674	1.529452597003118	1.968835225625473
1000	1.665219878341166	1.654626477612925	1.676473193821655	1.6368887403433938	1.443235506700055	1.865813058188071
1100	1.645932210483565	1.6376183416825743	1.6551188103972447	1.566618846639472	1.3741054590553352	1.8134948868042615
1200	1.628080711266675	1.6193258542716424	1.6397339441801337	1.5174289008193222	1.3088788058686596	1.7720141089174268
1300	1.6112084611687565	1.6030401564070293	1.6239094847356055	1.4731450668175092	1.2559466612777366	1.7268917943545712
1400	1.5951924478925177	1.5862329442816927	1.6088681848728439	1.4229286464756394	1.1999057118220737	1.6527430940460606
1500	1.579639963995101	1.5691937619287646	1.592173320366652	1.3711449289616529	1.1513008934687943	1.6020981424744873
1600	1.5638337517155443	1.5507023252755372	1.5744293454522311	1.3335650938438042	1.1225320867564001	1.5370600834947723
