,distance,mean,median,low_ci,high_ci,kind,nbins
0,0,0.006597386917830635,0.001551,0.006467370810136888,0.006753905251666813,KmerZFs_11_0,241531
1,500,0.005687083538716232,0.00151235,0.005580896886437117,0.005799294420800919,KmerZFs_11_0,206438
2,1000,0.005359590071776,0.001489,0.005238291325067573,0.0054997882340572695,KmerZFs_11_0,201416
3,1500,0.0050493952924456345,0.0014781,0.004960371004474392,0.005133097916703932,KmerZFs_11_0,196465
4,2000,0.004980645649426202,0.0014737,0.0048930770357603235,0.005084917099861619,KmerZFs_11_0,191050
5,2500,0.004831286130959721,0.0014667,0.004753825163701555,0.004904300877197538,KmerZFs_11_0,185805
6,3000,0.0047584228782382295,0.0014552,0.004685629564439748,0.004828281992274357,KmerZFs_11_0,181307
7,3500,0.004786495091166551,0.0014404,0.0046966714889859675,0.004891035190885291,KmerZFs_11_0,176565
8,4000,0.004836913090687372,0.0014397,0.004727547729396759,0.004928887003102103,KmerZFs_11_0,172277
9,4500,0.0046832303019373606,0.0014388,0.00459359674484444,0.004749100601878822,KmerZFs_11_0,167694
10,5000,0.004721009661382175,0.00143695,0.004632648887712465,0.0048219385569737705,KmerZFs_11_0,163522
11,5500,0.004670233413313724,0.0014365,0.004601161704130709,0.004745874503019378,KmerZFs_11_0,159726
12,6000,0.004688679256391391,0.0014363,0.004582872779200559,0.004799579241731231,KmerZFs_11_0,155866
13,6500,0.004819097207813897,0.0014441,0.004709906755880774,0.004927429991579137,KmerZFs_11_0,151698
14,7000,0.00476347897891109,0.0014427,0.004658899834641125,0.004860504283594702,KmerZFs_11_0,147849
15,7500,0.004550060634396054,0.0014387,0.004473512687055129,0.004620713356212978,KmerZFs_11_0,144380
16,8000,0.004623104937740043,0.0014382000000000002,0.00452706814920298,0.004705226008680215,KmerZFs_11_0,140816
17,8500,0.004663814614219675,0.001444,0.004586707534419014,0.00474840491734062,KmerZFs_11_0,137298
18,9000,0.004642707530457763,0.0014359,0.004569432216167202,0.004728310310363799,KmerZFs_11_0,133906
19,9500,0.0045864579600914165,0.0014363,0.004523800261773751,0.004665196334085769,KmerZFs_11_0,130272
20,0,0.005633828736650588,0.0017132,0.005535588424564386,0.00571641973730131,KmerZFs_12_0,259827
21,500,0.005678413866907648,0.0017209,0.005569830224807666,0.005784584541995194,KmerZFs_12_0,222875
22,1000,0.005580828144664315,0.0017111,0.00550674752062597,0.005664037863010066,KmerZFs_12_0,217083
23,1500,0.005528193959484454,0.0016971,0.005440232288715205,0.00562359243937569,KmerZFs_12_0,210934
24,2000,0.005485141103832557,0.0016896,0.005411058799485026,0.00558366778826911,KmerZFs_12_0,204863
25,2500,0.005449685738884916,0.0016811500000000002,0.0053629461972501515,0.005543682510889319,KmerZFs_12_0,198768
26,3000,0.005407851637369621,0.0016796,0.005322526208525154,0.005495283758518811,KmerZFs_12_0,193076
27,3500,0.005427955543178996,0.0016775,0.005327538370372118,0.005515979556533443,KmerZFs_12_0,187850
28,4000,0.005427670697188013,0.00166,0.005308209623797375,0.005515366798677606,KmerZFs_12_0,182589
29,4500,0.00538319331245123,0.0016383,0.005289631699764897,0.005477240378141329,KmerZFs_12_0,177414
30,5000,0.0053363662700287645,0.0016223,0.00524350209509936,0.005430359368016859,KmerZFs_12_0,172650
31,5500,0.005252382267573018,0.0016082,0.005170000100206524,0.005337559537209329,KmerZFs_12_0,168002
32,6000,0.005333825059832334,0.0016047,0.005246877627440982,0.00543240565468422,KmerZFs_12_0,163208
33,6500,0.005401284250973353,0.0015998,0.005300769687153513,0.005511457018816905,KmerZFs_12_0,158944
34,7000,0.005389683433079677,0.0015927995,0.005298790451053516,0.00551629174399077,KmerZFs_12_0,154706
35,7500,0.0053721025530269854,0.00158455,0.005294957876372779,0.005480434059531111,KmerZFs_12_0,150638
36,8000,0.005272311126634516,0.0015834,0.005183432479432309,0.0053720251476819655,KmerZFs_12_0,146634
37,8500,0.005217172896811875,0.0015824,0.0051071796052344865,0.005302676617306801,KmerZFs_12_0,142655
38,9000,0.005178968994800906,0.0015754,0.005080977864800543,0.005274766360033705,KmerZFs_12_0,138560
39,9500,0.005139464192871975,0.0015629,0.005037572939487246,0.005240087584186608,KmerZFs_12_0,134803
40,0,0.005995033901063492,0.0016278155,0.005889712732383917,0.006114103177339287,KmerZFs_5_0,193918
41,500,0.005326471998545947,0.001552,0.005233190197447564,0.0054131266566839345,KmerZFs_5_0,167476
42,1000,0.005122486981682569,0.0015164,0.0050153196203273345,0.005237711814387006,KmerZFs_5_0,164249
43,1500,0.00494976247549461,0.0014933,0.00485545367183929,0.005049681398360563,KmerZFs_5_0,160775
44,2000,0.0048446143785242386,0.001481,0.004743777343284886,0.004933316263786191,KmerZFs_5_0,157320
45,2500,0.004973672829275735,0.001485,0.00488277993082849,0.005082475758743887,KmerZFs_5_0,153913
46,3000,0.004802415990428061,0.0014793,0.004715684632926812,0.004888344178276756,KmerZFs_5_0,150536
47,3500,0.00476890394414191,0.0014762,0.004660013438679635,0.004905488830303765,KmerZFs_5_0,147359
48,4000,0.004846355079586499,0.0014781,0.004731796016520924,0.004980982349341002,KmerZFs_5_0,144367
49,4500,0.004794337352838148,0.0014685,0.0046942744506813195,0.004925847817993612,KmerZFs_5_0,141493
50,5000,0.004679835543540324,0.0014583,0.004597578474791792,0.004793121582413195,KmerZFs_5_0,138610
51,5500,0.004600295545806772,0.0014446,0.004513814907023007,0.004694477052613479,KmerZFs_5_0,135969
52,6000,0.00463010404215955,0.0014399,0.004533394331664551,0.004711950221324449,KmerZFs_5_0,133333
53,6500,0.004668500705218948,0.0014447,0.0045787137927720475,0.0047563765656844365,KmerZFs_5_0,130617
54,7000,0.004841327916055866,0.0014363,0.004703254219203723,0.0049535918508925815,KmerZFs_5_0,127680
55,7500,0.004920691056719265,0.0014282,0.004791644033732921,0.005067194447070459,KmerZFs_5_0,125211
56,8000,0.004819624175647272,0.0014282,0.004679642763615018,0.00493325631084114,KmerZFs_5_0,122947
