Name	All	All_025	All_975	Macro	Macro_025	Macro_975	Micro	Micro_025	Micro_975
PRDM9 Binding Sites	0.031096832224490497	0.02500415107714459	0.0371895133718364	0.025041992722720507	0.01827633047047766	0.03180765497496336	0.02525760273904042	0.010302000697710147	0.040213204780370694
CpG Islands	0.25006579429289083	0.23205183211159075	0.2680797564741909	0.3004271687875633	0.2794273393410711	0.3214269982340555	0.07260210265644944	0.035221858327399845	0.10998234698549902
TSS	0.053396419786363634	0.020716082782203958	0.08607675679052332	0.0028201491438259395	-0.034093127510844555	0.03973342579849643	0.029698790801363454	-0.03537998822938232	0.09477756983210922
CpGIxTSS	0.2446282812658036	0.19011633234857217	0.29914023018303504	0.42519912102822277	0.3605245608025711	0.4898736812538744	-0.11130163963819746	-0.22260298591479277	-2.933616021355556e-07
PRDM9x(CpGI or TSS)	-0.0036113967914219894	-0.030494430566130114	0.023271636983286135	0.030286497988930548	-0.0015598171290786174	0.062132813106939716	0.015382579951414422	-0.03838373971310203	0.06914889961593088
