,kind,distance,mean,low_ci,high_ci
0,KmerZFs_11_0,0,0.006712798711668217,0.006218060661583369,0.007298056185181437
1,KmerZFs_11_0,250,0.006448467979925561,0.006053967829568574,0.006989673560703494
2,KmerZFs_11_0,500,0.005774859527724737,0.005378257900620111,0.0062149754009541945
3,KmerZFs_11_0,750,0.005598513111829124,0.005205389402060508,0.005990390385649639
4,KmerZFs_11_0,1000,0.005488745555017984,0.004987779704197731,0.005862918868575836
5,KmerZFs_11_0,1250,0.005229311407771823,0.004895312972539081,0.005627406350007668
6,KmerZFs_11_0,1500,0.005096612269943008,0.004796963406350127,0.005362880610640336
7,KmerZFs_11_0,1750,0.005001724802455087,0.004712976678722456,0.005371649686936165
8,KmerZFs_11_0,2000,0.004989913057812775,0.004622405827508039,0.005300782135765221
9,KmerZFs_11_0,2250,0.004971275811789042,0.004696539784094015,0.005266202308725118
10,KmerZFs_11_0,2500,0.004910405946655617,0.0046139804213025,0.00516337816990306
11,KmerZFs_11_0,2750,0.004751242024355824,0.00443437361011909,0.0050435664575117275
12,KmerZFs_11_0,3000,0.004806913782033097,0.004498555804873797,0.005098926003328736
13,KmerZFs_11_0,3250,0.004709451940997078,0.004411275340107549,0.0050008257327207135
14,KmerZFs_11_0,3500,0.004787836552029406,0.004470727519902143,0.005092893240131313
15,KmerZFs_11_0,3750,0.004785140084204751,0.004419712190816113,0.005115572280655992
16,KmerZFs_11_0,4000,0.004866038108527242,0.004533591674772464,0.005244133616200226
17,KmerZFs_11_0,4250,0.004807515974836239,0.00446581433972937,0.00511972418220436
18,KmerZFs_11_0,4500,0.004713180135571754,0.004445922160600062,0.005012975421190327
19,KmerZFs_11_0,4750,0.00465295147949618,0.004376761695774581,0.00492740570376218
20,KmerZFs_11_0,5000,0.004728430959811289,0.004475512617697139,0.005015668551366266
21,KmerZFs_11_0,5250,0.0047135190570117965,0.004454562315002408,0.005026691983800947
22,KmerZFs_11_0,5500,0.004718266100479428,0.004413337467114177,0.005003482598681709
23,KmerZFs_11_0,5750,0.004621785146364949,0.004330579858381797,0.005000107209839323
