All PRDM9 Alleles_mean	All PRDM9 Alleles_025	All PRDM9 Alleles_975	PRDM9-Shared-11ZFs_mean	PRDM9-Shared-11ZFs_025	PRDM9-Shared-11ZFs_975	PRDM9-Shared-12ZFs_mean	PRDM9-Shared-12ZFs_025	PRDM9-Shared-12ZFs_975	PRDM9-Shared-5ZFs_mean	PRDM9-Shared-5ZFs_025	PRDM9-Shared-5ZFs_975	PRDM9-Shared-6ZFs-A_mean	PRDM9-Shared-6ZFs-A_025	PRDM9-Shared-6ZFs-A_975	PRDM9-Shared-6ZFs-B_mean	PRDM9-Shared-6ZFs-B_025	PRDM9-Shared-6ZFs-B_975	PRDM9-Shared-7ZFs-A_mean	PRDM9-Shared-7ZFs-A_025	PRDM9-Shared-7ZFs-A_975	PRDM9-Shared-7ZFs-B_mean	PRDM9-Shared-7ZFs-B_025	PRDM9-Shared-7ZFs-B_975	PRDM9-Shared-8ZFs_mean	PRDM9-Shared-8ZFs_025	PRDM9-Shared-8ZFs_975	PRDM9-Shared-9ZFs_mean	PRDM9-Shared-9ZFs_025	PRDM9-Shared-9ZFs_975
1.8499813598075048	1.8611645316350973	1.90170912187714	1.4772363347214474	1.4371496838641382	1.5334039114423537	1.0815997679449847	1.0567940187962666	1.108696588423146	1.1922126807709246	1.1464064419055118	1.2454736868664125	1.1460518163494562	1.1027165455200532	1.229896336799911	1.2280465136530148	1.1988624185474819	1.2724599181827945	1.2035666263177185	1.1712654813665297	1.293135784200248	1.0934520553420053	1.0537318590589715	1.1232746901934536	1.3189934128028686	1.277633269763714	1.3975042802471829	1.3357188126488215	1.3036472707915412	1.3655220309285705
1.8303278773833584	1.836570083438949	1.8701038876921112	1.447716210710474	1.4098801927449147	1.4935726683544541	1.0830588558367733	1.0621886188920031	1.106726096008606	1.1780488908035993	1.1401531064899395	1.2234620379841246	1.133602631803747	1.0958934234019357	1.204909292790711	1.2154372589527238	1.1909931258864956	1.2529934707097945	1.1962573618936478	1.1686983336147305	1.270843236532708	1.085673517947125	1.0529556354090392	1.1115869495260444	1.2991131989575644	1.264465997631932	1.3658932833284654	1.3267922527558154	1.3010443788189963	1.3537078890155614
1.810161735083751	1.8119610539024686	1.8395709704365606	1.417693916898645	1.3806594541575412	1.4537924282426058	1.08438822805589	1.067302764030402	1.1050976170183133	1.163814371936102	1.1342022279420751	1.2012115775562855	1.1216631054938384	1.097299149913857	1.1791130963763896	1.2030655177920173	1.1820111787108334	1.2318110676674299	1.1884713263623004	1.166732537331406	1.2481831082235322	1.0783289278090107	1.0519475706319237	1.10191683559724	1.2786535458516142	1.249852841135698	1.3344823501177046	1.317530400232638	1.2945602000238778	1.34084527351603
1.7893429077763972	1.7871411951514395	1.8089843639532872	1.3872242535642645	1.351382480229689	1.4142157104320374	1.0856208237333422	1.069638235442241	1.1061574195807855	1.1496228380870352	1.1273597940282385	1.178862985604908	1.110169504259024	1.0931332152334623	1.15364451253237	1.1909650652857897	1.172382746598018	1.2122308695632364	1.1803414295969332	1.1588205372688674	1.2252438043904872	1.0714337451389397	1.0507665413977234	1.0919874162352965	1.2577686539582813	1.2324856397560147	1.3031114490316105	1.307938829018207	1.2847663166135135	1.3283213853192315
1.7680598338024107	1.7628092351404014	1.7786187576923886	1.3558742398693113	1.3280924092470856	1.3780713469368517	1.08684098814511	1.0690321139934515	1.1028726575279912	1.135584858966103	1.116428665791138	1.1580249042813304	1.0990007257891439	1.0814136257434284	1.1327091303191659	1.179049323843329	1.1622014135461918	1.1953593316720645	1.1721271155495168	1.1505028223616975	1.202417187097029	1.0648459879221235	1.049719734422111	1.0823533191518995	1.2366109796025615	1.215069645665399	1.271543815380423	1.2985093896334492	1.275525437300535	1.3157659827866177
1.7443885579032012	1.7339714056843611	1.7514825048098523	1.3227460153607395	1.296451575785363	1.3446144195182717	1.0870042991695716	1.0714509611315233	1.102264324295817	1.1213368264675685	1.1021621785160565	1.1421242182344482	1.0893554609285265	1.0686642079250355	1.1199636563062207	1.1663143241778091	1.1521250154158436	1.1840926763411188	1.1620073574961653	1.1387668571958602	1.1857203112159034	1.0599161474277783	1.0468418159643464	1.073784515420029	1.2140233370615978	1.194627200779907	1.2450014524973363	1.2881452579120651	1.2656865280207326	1.306054661247424
1.7202394440881628	1.709708171108606	1.7281305406279424	1.2929259761084644	1.2675647094859392	1.3167014881127872	1.0872862352655015	1.0754889168067796	1.1069004987154787	1.1074468852536465	1.0892091555249006	1.1268230361215952	1.0800649626245986	1.0583036880376953	1.1102528949598254	1.1526888686622951	1.1377069555153094	1.1725457944328126	1.1503889239312557	1.124205852490641	1.1716051530318556	1.0551177741527866	1.0396007385441557	1.0701906515387385	1.1909638112559748	1.1714671069603564	1.2169102805135816	1.2764559855756736	1.2561187474800588	1.295418142659502
1.6957340589735121	1.6872501096682195	1.7048505087834585	1.2651248449396364	1.2404958873395815	1.2896751750005784	1.0880590594890156	1.0725002548900047	1.1066443307695804	1.0945519702448667	1.0765578320849472	1.1131055130833516	1.0702166322034867	1.049702577450572	1.0999002555505473	1.138774814112051	1.123029362782566	1.1565181972418008	1.1389667417227824	1.1108460537521478	1.1613895770155591	1.050287250937175	1.034570974122578	1.0659687911218914	1.1674139924120877	1.151844603616173	1.1939236397400788	1.2634604996565182	1.240097121656564	1.2818026342967213
1.67136879273107	1.664139276743877	1.6829564178925402	1.2386513866320792	1.2188901375767878	1.2638038556719084	1.0880314067549985	1.0697227544291306	1.1028284727102917	1.0827444585315706	1.065570011703951	1.099494718810815	1.060259983002467	1.0410594234156756	1.0900458980140881	1.1243955395664569	1.108952388523751	1.1399711085294189	1.1285743754565563	1.101771901501452	1.1556550880521739	1.0452804624511833	1.0290938818231328	1.0601268651382671	1.1435211767752635	1.1284511635562058	1.1736176537630059	1.2498357024517461	1.2261243536583413	1.270998003330864
1.6483764620447925	1.640988010344635	1.6612860236232814	1.2135006236530421	1.1924295749005211	1.2440737012363503	1.0864265829193185	1.0681316563337464	1.1034881972953698	1.0718293804247165	1.054986335921616	1.0886083928165167	1.0505094264451702	1.0317704893257944	1.0804072344049314	1.1089812371240972	1.095024143473332	1.126476847808795	1.1198496941988436	1.098298515362139	1.1480558957371996	1.0394870127057287	1.021889397174715	1.0553959586744852	1.1213356167732977	1.1078218150923962	1.1491167557137623	1.2355034686449546	1.2138862258642504	1.259045200099033
