,distance,mean,median,low_ci,high_ci,kind,nbins
0,0,0.006712798711668217,0.0015645,0.0065348039197513546,0.006907425054436779,KmerZFs_11_0,136074
1,250,0.006448467979925561,0.0015307,0.006212748974996056,0.006675143534258396,KmerZFs_11_0,105457
2,500,0.005774859527724737,0.0015209,0.005618599488613525,0.005933496855112179,KmerZFs_11_0,103684
3,750,0.005598513111829124,0.0015032000000000001,0.005450835915004244,0.005772528081055758,KmerZFs_11_0,102754
4,1000,0.005488745555017984,0.0014984899999999999,0.005311262229395799,0.005716777131986703,KmerZFs_11_0,101144
5,1250,0.005229311407771823,0.0014769,0.005088683111788975,0.005423208634350285,KmerZFs_11_0,100272
6,1500,0.005096612269943008,0.0014878,0.004974225256510669,0.005239753792470284,KmerZFs_11_0,98702
7,1750,0.005001724802455087,0.0014685,0.004871731266792567,0.005148615033654156,KmerZFs_11_0,97763
8,2000,0.004989913057812775,0.0014814,0.004868555831267502,0.0051113953023270535,KmerZFs_11_0,96050
9,2250,0.004971275811789042,0.00146626,0.004808500006913687,0.005131991004127212,KmerZFs_11_0,95000
10,2500,0.004910405946655617,0.0014808830000000001,0.004792045704670733,0.005034153727619471,KmerZFs_11_0,93442
11,2750,0.004751242024355824,0.00146,0.004657650452508706,0.004861772962929384,KmerZFs_11_0,92363
12,3000,0.004806913782033097,0.0014631919999999999,0.004694638079956389,0.00493087309076543,KmerZFs_11_0,91100
13,3250,0.004709451940997078,0.0014437536,0.004564195193271736,0.004819353364027576,KmerZFs_11_0,90207
14,3500,0.004787836552029406,0.0014506,0.004684346094203398,0.004894277352856456,KmerZFs_11_0,88726
15,3750,0.004785140084204751,0.0014309,0.004664518013881872,0.0049264370175590546,KmerZFs_11_0,87839
16,4000,0.004866038108527242,0.0014446,0.004719868580843374,0.004989658464431028,KmerZFs_11_0,86539
17,4250,0.004807515974836239,0.0014365,0.004697951410577387,0.004945862887287686,KmerZFs_11_0,85738
18,4500,0.004713180135571754,0.0014441,0.004598805850024899,0.0048354369560275196,KmerZFs_11_0,84305
19,4750,0.00465295147949618,0.0014327,0.004552040578284686,0.004743589547453912,KmerZFs_11_0,83389
20,5000,0.004728430959811289,0.0014427,0.004615376033878149,0.0048676976686948805,KmerZFs_11_0,82141
21,5250,0.0047135190570117965,0.001429,0.004601077394999732,0.0048398737191733135,KmerZFs_11_0,81381
22,5500,0.004718266100479428,0.0014407,0.004609582999690255,0.004822512477837446,KmerZFs_11_0,80207
23,5750,0.004621785146364949,0.0014282,0.004504194790034795,0.004734939981597498,KmerZFs_11_0,79519
24,6000,0.004638759910800949,0.0014388,0.004517796347371834,0.004766515190314506,KmerZFs_11_0,78298
25,6250,0.004739068397803321,0.0014312,0.004604781627013835,0.004917202700929862,KmerZFs_11_0,77568
26,6500,0.004867188191832793,0.0014506,0.004690400400753413,0.0050512636782570125,KmerZFs_11_0,76253
27,6750,0.004770491179523183,0.001437,0.004581146937402222,0.004941604331871987,KmerZFs_11_0,75445
28,7000,0.004793987777040998,0.0014542,0.004646783427345153,0.004925344001413185,KmerZFs_11_0,74235
29,7250,0.004732712811753028,0.001429784,0.004598312485201467,0.004891025082717273,KmerZFs_11_0,73614
30,7500,0.0046129758116348115,0.0014437,0.004509494640411743,0.004745907026082065,KmerZFs_11_0,72475
31,7750,0.004486646720615665,0.001433475,0.0044087486263243904,0.004588769723580362,KmerZFs_11_0,71905
32,8000,0.004595414979817497,0.0014435,0.004500509045946941,0.0046984037187070195,KmerZFs_11_0,70765
33,8250,0.004651077127607268,0.0014314,0.004514847101486607,0.004821089684181581,KmerZFs_11_0,70051
34,8500,0.004713079064705618,0.0014476,0.0045793605104221926,0.004889069419554757,KmerZFs_11_0,68986
35,8750,0.0046140640962839775,0.0014387,0.00450972086337663,0.0047224819887733815,KmerZFs_11_0,68312
36,9000,0.004680202686458601,0.0014401,0.004570014671927923,0.00484522226357819,KmerZFs_11_0,67274
37,9250,0.004604851108246205,0.0014273,0.004496826324519908,0.004733217660124345,KmerZFs_11_0,66632
38,9500,0.0045993976653269115,0.0014427,0.004506790764434876,0.004689932443257853,KmerZFs_11_0,65464
39,9750,0.004573387276479262,0.0014274,0.00446638024081763,0.004686747121990489,KmerZFs_11_0,64808
40,0,0.005625739464878061,0.0017098,0.005513023440710671,0.005764127236708682,KmerZFs_12_0,146074
