Name	All	All_025	All_975	Macro	Macro_025	Macro_975	Micro	Micro_025	Micro_975
PRDM9 Binding Sites	0.031202176012730176	0.025073070177685758	0.037331281847774594	0.036382142692205174	0.029584404440882762	0.043179880943527586	0.03356154438315536	0.01854874032431901	0.04857434844199171
CpG Islands	0.2354115928612333	0.21755093293646227	0.25327225278600435	0.306687457014134	0.28599130210318513	0.3273836119250829	0.05851697308559713	0.020796969501677753	0.09623697666951651
TSS	0.038419318015798405	0.005928878699720273	0.07090975733187654	0.06357812213917767	0.026447754904747663	0.10070848937360768	0.009491031935934577	-0.05769303423622486	0.07667509810809402
CpGIxTSS	0.24552691328895537	0.19040335895969213	0.3006504676182186	0.3254080375579386	0.26194432115411004	0.3888717539617672	0.009013110499019664	-0.1007585879942605	0.11878480899229983
PRDM9x(CpGI or TSS)	0.018330949703652982	-0.008386752448826747	0.045048651856132715	0.0033322583156569566	-0.028951177232542917	0.03561569386385683	-0.04107350092179219	-0.09492827388297506	0.012781272039390688
