Name	All	All_025	All_975	Macro	Macro_025	Macro_975	Micro	Micro_025	Micro_975
PRDM9 Binding Sites	0.028929179848804207	0.023556651524438282	0.03430170817317013	0.01821259932132751	0.012175409692670515	0.024249788949984502	0.01611502861012868	0.0035409162035968025	0.028689141016660556
CpG Islands	0.21529315843016028	0.199429371933219	0.23115694492710157	0.2539479900858002	0.23510023178677963	0.2727957483848208	0.005219331768097616	-0.02661082019894913	0.037049483735144356
TSS	0.019820280160144324	-0.008731502635485888	0.048372062955774536	-0.000403184388261917	-0.03397295091432543	0.033166582137801597	-0.016008329557385115	-0.07101672539760787	0.03900006628283764
CpGIxTSS	0.21904095923877928	0.171202078135057	0.26687984034250156	0.3375685448223727	0.2802973165624966	0.39483977308224877	-0.011318557659851293	-0.10177414048895371	0.07913702516925113
PRDM9x(CpGI or TSS)	-0.014194939461333966	-0.03802205977658294	0.009632180853915007	0.021886473289122098	-0.006771821031063888	0.05054476760930808	0.04458369221217342	-0.0008552177288645643	0.0900226021532114
