,kind,distance,mean,low_ci,high_ci
0,KmerZFs_11_0,0,0.006597386917830635,0.006128054090053386,0.007013080722404771
1,KmerZFs_11_0,500,0.005687083538716232,0.005317800922978929,0.006115927125747309
2,KmerZFs_11_0,1000,0.005359590071776,0.005074861573528409,0.0058399120433466865
3,KmerZFs_11_0,1500,0.0050493952924456345,0.004716451944537388,0.005362895690546741
4,KmerZFs_11_0,2000,0.004980645649426202,0.004641800298655373,0.005329832285152839
5,KmerZFs_11_0,2500,0.004831286130959721,0.004551550739866607,0.005109366052795314
6,KmerZFs_11_0,3000,0.0047584228782382295,0.004465311527915038,0.005091437030760834
7,KmerZFs_11_0,3500,0.004786495091166551,0.004468052390215559,0.005066387282728154
8,KmerZFs_11_0,4000,0.004836913090687372,0.0045095723809377136,0.005152895982238476
9,KmerZFs_11_0,4500,0.0046832303019373606,0.004440025620853496,0.005047002617364035
10,KmerZFs_11_0,5000,0.004721009661382175,0.004436532352167141,0.00503703476121623
11,KmerZFs_11_0,5500,0.004670233413313724,0.004358477604251451,0.004981566315532315
12,KmerZFs_11_0,6000,0.004688679256391391,0.004360655772396606,0.005027616850066848
13,KmerZFs_11_0,6500,0.004819097207813897,0.0044711014104729845,0.005240603614676938
14,KmerZFs_11_0,7000,0.00476347897891109,0.004481288703754181,0.005096905101356257
15,KmerZFs_11_0,7500,0.004550060634396054,0.004303451932137279,0.004841549032063585
16,KmerZFs_11_0,8000,0.004623104937740043,0.004355103495647664,0.0049885852951019926
17,KmerZFs_11_0,8500,0.004663814614219675,0.004363811227305466,0.004978953538821571
18,KmerZFs_11_0,9000,0.004642707530457763,0.004348071211103066,0.004940441935442527
19,KmerZFs_11_0,9500,0.0045864579600914165,0.004321936359163761,0.004866786122849534
20,KmerZFs_12_0,0,0.005633828736650588,0.005273657410994961,0.005991959427030995
21,KmerZFs_12_0,500,0.005678413866907648,0.005318608596362045,0.006147772291476304
22,KmerZFs_12_0,1000,0.005580828144664315,0.0052113475495366,0.005930728519918902
23,KmerZFs_12_0,1500,0.005528193959484454,0.005145974489917139,0.005915538082268352
24,KmerZFs_12_0,2000,0.005485141103832557,0.0050875710659998115,0.005895517419296633
25,KmerZFs_12_0,2500,0.005449685738884916,0.004973575754462424,0.005839691269273596
26,KmerZFs_12_0,3000,0.005407851637369621,0.005014359246168833,0.005839413144493649
27,KmerZFs_12_0,3500,0.005427955543178996,0.00506935098814249,0.00580396655513935
28,KmerZFs_12_0,4000,0.005427670697188013,0.005062506604386204,0.005877534925488943
29,KmerZFs_12_0,4500,0.00538319331245123,0.004997430642422116,0.005802195871203963
30,KmerZFs_12_0,5000,0.0053363662700287645,0.004920230869030831,0.005705727226462768
31,KmerZFs_12_0,5500,0.005252382267573018,0.004898790893191905,0.005635523438483074
32,KmerZFs_12_0,6000,0.005333825059832334,0.00497950585762078,0.005644618147391958
33,KmerZFs_12_0,6500,0.005401284250973353,0.005048380108531966,0.005775705612891223
34,KmerZFs_12_0,7000,0.005389683433079677,0.0050321950464622366,0.0057718924571498135
35,KmerZFs_12_0,7500,0.0053721025530269854,0.0050213713513708146,0.005762479502753028
36,KmerZFs_12_0,8000,0.005272311126634516,0.0049818848042848295,0.005634211701070728
37,KmerZFs_12_0,8500,0.005217172896811875,0.004868465637866425,0.005547648863221089
38,KmerZFs_12_0,9000,0.005178968994800906,0.00486086682810935,0.005487791789491717
39,KmerZFs_12_0,9500,0.005139464192871975,0.004844497274217123,0.005454789379900335
40,KmerZFs_5_0,0,0.005995033901063492,0.005536115623159201,0.006660887506182397
41,KmerZFs_5_0,500,0.005326471998545947,0.004952676687908195,0.00578610389666567
42,KmerZFs_5_0,1000,0.005122486981682569,0.004735200626046417,0.005565916543163716
43,KmerZFs_5_0,1500,0.00494976247549461,0.004616454462373656,0.005337418678921408
44,KmerZFs_5_0,2000,0.0048446143785242386,0.00445874425288246,0.0052683952714335635
45,KmerZFs_5_0,2500,0.004973672829275735,0.004551315312641585,0.0054055300834570715
46,KmerZFs_5_0,3000,0.004802415990428061,0.00445310370554837,0.0051149720183679675
47,KmerZFs_5_0,3500,0.00476890394414191,0.0043741404234470555,0.005087142345441371
48,KmerZFs_5_0,4000,0.004846355079586499,0.004434929874443271,0.005252245180429552
49,KmerZFs_5_0,4500,0.004794337352838148,0.004498017619102979,0.005130645077475888
50,KmerZFs_5_0,5000,0.004679835543540324,0.004374197899345445,0.0050104750615703655
51,KmerZFs_5_0,5500,0.004600295545806772,0.004287621533619399,0.0048791865609432924
52,KmerZFs_5_0,6000,0.00463010404215955,0.004344873340580237,0.004947711428176504
53,KmerZFs_5_0,6500,0.004668500705218948,0.004344438958112148,0.005006632507275614
54,KmerZFs_5_0,7000,0.004841327916055866,0.004479955717156154,0.005257836226259958
55,KmerZFs_5_0,7500,0.004920691056719265,0.004542377022608594,0.005322064780576242
56,KmerZFs_5_0,8000,0.004819624175647272,0.004459513992855454,0.0052067674377976846
57,KmerZFs_5_0,8500,0.004944510249749945,0.004582256485953257,0.005392359252134404
58,KmerZFs_5_0,9000,0.004909357814221293,0.004604838625901415,0.005296436577071413
59,KmerZFs_5_0,9500,0.004922336576077684,0.004588367001582397,0.005322378745689962
60,KmerZFs_6_0,0,0.005479023615582635,0.004931472556533974,0.006204771892574913
61,KmerZFs_6_0,500,0.004922370149076249,0.0045222586730263425,0.005389896129660409
62,KmerZFs_6_0,1000,0.0046975070875573495,0.004300886712082242,0.0051999434096600804
63,KmerZFs_6_0,1500,0.00459551884260231,0.0041777659528529605,0.005033324803151482
64,KmerZFs_6_0,2000,0.004547520794980021,0.004218194550836428,0.004950430055017319
65,KmerZFs_6_0,2500,0.004423352694612272,0.004076692565734967,0.004816072537367853
66,KmerZFs_6_0,3000,0.004431465461590455,0.004085294839134599,0.004970976914877431
67,KmerZFs_6_0,3500,0.004454182380822433,0.004079820707467001,0.004949380809880838
68,KmerZFs_6_0,4000,0.004520079547078259,0.004171338971131313,0.0049771042836415005
69,KmerZFs_6_0,4500,0.004589539799288867,0.004242368882059554,0.004970330383263477
70,KmerZFs_6_0,5000,0.004534010161642066,0.004173784182578774,0.004873512267671989
71,KmerZFs_6_0,5500,0.004454008211043886,0.004130204742571475,0.004857639079930507
72,KmerZFs_6_0,6000,0.004607038183926808,0.004248370876412297,0.005031510625582198
73,KmerZFs_6_0,6500,0.004614713137567265,0.004192353769734335,0.005067944944396812
74,KmerZFs_6_0,7000,0.004662705474365168,0.0042574679587217895,0.00513802059773041
75,KmerZFs_6_0,7500,0.004704662773633968,0.004306892330959467,0.005200121196780443
76,KmerZFs_6_0,8000,0.004672989777684402,0.0043812732238144945,0.0050474920123328715
77,KmerZFs_6_0,8500,0.004582048676667229,0.004250556079289546,0.004935513711816336
78,KmerZFs_6_0,9000,0.004589800117222867,0.004269304987237536,0.004956078023101184
79,KmerZFs_6_0,9500,0.004600259281120857,0.004217367794836073,0.005012436140870926
80,KmerZFs_6_1,0,0.005711921852379199,0.005351627309583294,0.006041546474377299
81,KmerZFs_6_1,500,0.0052968036714068165,0.004956185571189969,0.005630650247434938
82,KmerZFs_6_1,1000,0.004938285088945045,0.0046169936514419765,0.005272296459780448
83,KmerZFs_6_1,1500,0.004727762623456685,0.004476534423872865,0.0050615361943234065
84,KmerZFs_6_1,2000,0.004715296415419312,0.004414706206946866,0.005055815641226251
85,KmerZFs_6_1,2500,0.004695839322182912,0.004371336814426868,0.005028208576082717
86,KmerZFs_6_1,3000,0.004631326794835695,0.0043228793670319135,0.00497944855015185
87,KmerZFs_6_1,3500,0.00468879484280088,0.004345468957810627,0.0050823946333984765
88,KmerZFs_6_1,4000,0.004623058625469364,0.004335521866327129,0.004930482123667906
89,KmerZFs_6_1,4500,0.004583679745911308,0.004317458899110211,0.004855770035091951
90,KmerZFs_6_1,5000,0.0045008890037510655,0.004248871422266084,0.004797352642283008
91,KmerZFs_6_1,5500,0.004589228736933722,0.004303406392512949,0.004898530726624266
92,KmerZFs_6_1,6000,0.004726815479416693,0.004360649371918317,0.005086038431545529
93,KmerZFs_6_1,6500,0.0047740055925390296,0.004401131701568237,0.005148198341435237
94,KmerZFs_6_1,7000,0.004835218400719134,0.004442876420719459,0.0052343949971408316
95,KmerZFs_6_1,7500,0.004657234921752418,0.004371957059871021,0.005016755653113127
